Job Title,Company/Organization,Location,Job Link
"Research and Events Internship, AI and Emerging Technology Initiative",The Brookings Institution,Internship,https://interns-brookings.icims.com/jobs/3746/spring-2026%2c-research-and-events-internship%2c-ai-and-emerging-technology%2c-executive-office-%28job-id-2025-3746%29/job
"Chair, Department of Technology, AI and Society",Stony Brook University,"Stony Brook, New York",
Principal Technical Program Manager - Responsible AI,Microsoft,Remote,https://jobs.careers.microsoft.com/global/en/job/1891438/Principal-Technical-Program-Manager-%E2%80%93-Responsible-AI
"Associate Director, Emerging Technology and Industry Practice",Ada Lovelace Institute,London,https://micro.green-park.co.uk/adalovelace/assistant-director-emerging-technology-industry-practice/
Lantern Program Director,Tech Coalition,"Remote, must be based in United States",https://technologycoalition.org/careers/lantern-director/
Research Fellow,Portulans Institute,"Washington, DC",https://docs.google.com/forms/d/e/1FAIpQLSfExB-IqZtnGvqwfHxZUFFu1Bcn1k229XOHtr3-AD2JSUUG4Q/viewform
Technical Program Manager - Responsible AI,Microsoft,"Seattle, Bay Area, Boston, NYC",https://jobs.careers.microsoft.com/global/en/job/1885317/Technical-Program-Manager-%E2%80%93-Responsible-AI
NobleReach Scholar,NobleReach,Remote,https://noblereach.smapply.us/prog/2026_noblereach_scholars_program/
Member - Oversight Board,Ada Lovelace Institute,London,https://micro.green-park.co.uk/adalovelace/role-description/
Research Manager,MATS,"Berkeley, London",https://www.matsprogram.org/careers
AI & Data Ethics Governance Specialist,Australian Retirement Trust,"Brisbane, Sydney, Melbourne",https://australianretirementtrust.expr3ss.com/jobDetails?selectJob=2145&ppt=1c30c8be
Principal Policy Adviser – AI and ADM (Automated Decision-Making) Code of Practice,Information Commissioners Office (ICO),"Wilmslow, London, Edinburgh, Cardiff or Belfast",https://ico.wd3.myworkdayjobs.com/en-GB/ICO/details/Principal-Policy-Adviser---AI-and-ADM-Code-of-Practice_JR606
Senior Policy Advisor - AI Policy & Governance,Tony Blair Institute for Global Change,London,https://www.linkedin.com/jobs/view/4292798851/
Senior Manager - Responsible AI Governance,BMO,Toronto (Hybrid),https://bmo.wd3.myworkdayjobs.com/External/job/Toronto-ON-CAN/Senior-Manager---Responsible-AI-Governance_R250022704
Chief Compliance Officer,State of Illinois,Chicago,https://illinois.jobs2web.com/job/Springfield-Chief-Compliance-Officer-%28SPSA-Opt_-1%29-IL-62702-5170/1323007100/?utm_campaign=doitrtjb
Chief Operating Officer,SaferAI,"Paris, London",https://www.safer-ai.org/chief-operating-officer
Executive Director,Singapore AI Safety Hub,Singapore,https://www.aisafety.sg/jobs
"AI Governance Advisor, EU",Credo AI,Remote,https://www.credo.ai/jobs?ashby_jid=ab803371-fb48-4160-be99-f11b467b5012
Policy Researcher,Ada Lovelace Institute,London,https://app.beapplied.com/apply/q6sgozzur4?utm_source=atih
"Principal, Programs (Technology Policy)",Omidyar Network,Washington DC,https://grnh.se/ig9b3d3m1us
Senior Research Manager or Director of Research – Artificial Intelligence Policy (Multiple Roles Across Teams and Titles),Institute for AI Policy and Strategy,"emote (we are able to hire in most countries), with a preference for candidates who are based or would be willing to relocate to Washington, D.C., or the San Francisco Bay Area (visa sponsorship available)",https://form.fillout.com/t/5jhn4ESHm2us
Researchers / Senior Researchers – Artificial Intelligence (AI) Policy and Strategy,Institute for AI Policy and Strategy (IAPS),"remote (we are able to hire in most countries), with a preference for candidates who are based or would be willing to relocate to Washington, D.C., or the San Francisco Bay Area (visa sponsorship available)",https://form.fillout.com/t/uGRXDEDequus
Communications Manager,Creative Commons,Remote,https://creative-commons.breezy.hr/p/6aa5381715de-communications-manager
Chief Compliance Officer,State of Illinois,"Springfield, IL",https://illinois.jobs2web.com/job/Springfield-Chief-Compliance-Officer-%28SPSA-Opt_-1%29-IL-62702-5170/1310919300/?utm_campaign=doitrtjb
Research Scholar,Centre for the Governance of AI,London,https://www.governance.ai/post/research-scholar
Research Fellow,Centre for the Governance of AI,London,https://www.governance.ai/post/research-fellow
Winter Fellowship,Centre for the Governance of AI,London,https://www.governance.ai/post/winter-fellowship-2026
NextGen Intiative Fellow,Heliopolis Consulting,Remote,https://docs.google.com/forms/d/e/1FAIpQLSfs2mHDWpXZyV5cwAh-XhqB-a2vS0HlDLaFcDQeh3uPEpPXDA/viewform
Pennsylvania Science & Technology Policy AI Fellow,Pennsylvania State Legislature,"Harrisburg, PA",http://bit.ly/43nXcCs
(UK) Policy Advisor - AI Safety & Security,ControlAI,London,https://jobs.eu.lever.co/controlai/1278d31e-37e9-49c8-8b2f-3d43ba6c25fc
2025 AI Policy Fellowship: Institute for Al Policy and Strategy,Institute for Al Policy and Strategy,"Remote or in-person in Washington, DC",https://www.iaps.ai/fellowship
Research Fellow / Senior Research Fellow / Special Projects Fellow,Safe AI Forum (SAIF),Early Career,https://airtable.com/app3inH7tD2wXqI1l/shr20Psmp9SYg2UB7
Berkman Klein Center Call for Applications: 2025-2026 BKC Fellowship,The Berkman Klein Center for Internet & Society at Harvard University,"Cambridge,MA",https://cyber.harvard.edu/getinvolved/fellowships/2526Fellows
Sr. Responsible AI Risk & Compliance Specialist,eBay,Remote,https://ebay.wd5.myworkdayjobs.com/apply/job/San-Jose/Sr-Responsible-AI-Risk---Compliance-Spec_R0066628
Director of Communications & Digital Strategy,ControlAI,London,https://jobs.eu.lever.co/controlai/f3601e8e-2482-4e0d-9afc-a3a93bdc332a
(UK) Policy Advisor - AI Safety & Security,ControlAI,London,https://jobs.eu.lever.co/controlai/1278d31e-37e9-49c8-8b2f-3d43ba6c25fc
"Staff, Incident Response Engineer - AI & Omnichannel Red Team",Walmart,"Reston, VA",https://careers.walmart.com/us/jobs/WD2117464-staff-incident-response-engineer-ai-omnichannel-red-team
"Senior Manager - Privacy, Responsible AI and Data Regulations (PRADAR)",Vodafone,Newbury,https://jobs.vodafone.com/careers?query=responsible&start=0&pid=563018684763821&sort_by=solr
AI Governance Expert,Maya,"Mandaluyong, National Capital Region, Philippines",https://www.linkedin.com/jobs/view/4173379099/
AI Risk Analyst,First Horizon Bank,New Orleans,https://www.linkedin.com/jobs/view/4151687738/
Policy Advisor,ControlAI,London,https://jobs.eu.lever.co/controlai/1278d31e-37e9-49c8-8b2f-3d43ba6c25fc
"Associate Director, Emerging Technology and Industry Practice",Ada Lovelace Institute,London,https://app.beapplied.com/apply/kefx3rvpmg?utm_source=atih
Copyright and AI Counsel,Creative Commons,United States,https://creative-commons.breezy.hr/p/a3a025683091-copyright-ai-counsel
AI Governance Advisor,Mila - Institut québécois d'intelligence artificielle,Montreal,https://apply.workable.com/mila-2/j/6891AC08AF/
"Director, Model Governance & Monitoring",Paysafe,London,https://jobs.paysafe.com/job/London-Director%2C-Model-Governance-&-Monitoring-EC2V-7AD/1255603000/
"Director, AI & Data Regulatory Affairs, Global Government Relations",JPMorgan Chase,"New York | Washington, D.C.",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210602377/
Associate General Counsel,Hippocratic AI,Palo Alto,https://jobs.ashbyhq.com/Hippocratic%20AI/7c681144-b55f-4077-b6d7-372a1506c9bd
"Senior Counsel, Intellectual Property and Artificial Intelligence",Walmart,"Bentonville, AR",https://walmart.wd5.myworkdayjobs.com/WalmartExternal/job/Bentonville-AR/Senior-Counsel--Intellectual-Property-and-Artificial-Intelligence_R-2103337-1
AI Policy Lead,Scale,"Washington, D.C.",https://scale.com/careers/4530334005
Senior Responsible AI Scientist (LLM),Resaro,Singapore,https://resaroai.bamboohr.com/careers/32
"Research Team Lead, Frontier Red Team",Anthropic,San Francisco,https://boards.greenhouse.io/anthropic/jobs/4496557008
AI Governance Lead,American Century Investments,"Kansas City, MO",https://americancentury.wd5.myworkdayjobs.com/en-US/AmericanCenturyInvestments/details/AI-Governance-Lead_R0005119
AI & Data Governance Consultant,First Central Insurance & Technology Group,Early Career,https://firstcentral.wd3.myworkdayjobs.com/en-US/External/job/Data---AI-Governance-Consultant_JR102962
Ethics Specialist,Eticas,Remote,https://eticas.zohorecruit.com/jobs/Careers/754104000002725976/Ethics-Specialist?source=CareerSite
Scientific Project Officers: AI/Data Scientist,European Centre for Algorithmic Transparency (European Commission),Seville (ES),https://algorithmic-transparency.ec.europa.eu/work-ecat_en
Strategy Associate,AI Security Institute,London,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZwYWdlY2xhc3M9Sm9icyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImdXNlcnNlYXJjaGNvbnRleHQ9MTIwMDA3OTE3JnNlYXJjaHBhZ2U9MSZzZWFyY2hzb3J0PXNjb3JlJmpvYmxpc3Rfdmlld192YWM9MTk0MTQ4OCZyZXFzaWc9MTc0MDI1MDQ0NC02YjE3YjU4ODM2YWRhOTc1MTA3NTBiNjE3OGMzYzViMGExYzZjODY5
"Director, Model Governance & Monitoring",Paysafe,London,https://jobs.paysafe.com/job/London-Director%2C-Model-Governance-&-Monitoring-EC2V-7AD/1255603000/
Vice President - Artificial Intelligence Data Management,JPMorgan Chase,"Jersey City, NJ",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1002/job/210578025
"Director of Product Management, Generative AI Privacy & Security",Google DeepMind,"Mountain View or San Francisco, CA",https://boards.greenhouse.io/deepmind/jobs/6512324
Chief Operating Officer (COO),The Future Society,Executive/Director,https://thefuturesociety.org/work-with-us/
Crime and Social Destabilisation Workstream Lead,AI Security Institute (UK),London,https://www.aisi.gov.uk/careers/apply?gh_jid=4399317101
AI Governance Consultant,Siemens Energy,Berlin | Lisbon,https://jobs.siemens-energy.com/en_US/jobs/FolderDetail/AI-Governance-Consultant/260156
"Product Manager, AI Governance",Glean,"Bangalore, India",https://boards.greenhouse.io/gleanwork/jobs/4491493005
COO,The Future Society,Remote between PT & CET,https://thefuturesociety.org/work-with-us/
Research Scholar,Centre for the Governance of AI,Remote,https://www.governance.ai/post/research-scholar
Research Fellow,Centre for the Governance of AI,Remote,https://www.governance.ai/post/research-fellow
"Associate Director, Digital Product and AI Governance",Consumer Reports,"Yonkers, NY",https://job-boards.greenhouse.io/consumerreports/jobs/4534545007
"Lead, Strategic Integration, Artificial Intelligence, MENA",World Economic Forum,"Geneva, Switzerland",https://www.linkedin.com/jobs/view/4121102289/?refId=0nhQD8wvTXOPgq1V5QJbWg%3D%3D&trackingId=0nhQD8wvTXOPgq1V5QJbWg%3D%3D
"Senior Director, AI and Emerging Technologies",NBCUniversal,New York City,https://jobs.smartrecruiters.com/NBCUniversal3/744000035249960-senior-director-ai-and-emerging-technologies
"Chief of Staff, Technology and AI",Marqeta,Remote,https://job-boards.greenhouse.io/mqreferrals/jobs/6454939?gh_src=520990f81us
"Technical Program Manager, Gemini Data Governance",Google DeepMind,"Mountain View, CA",https://boards.greenhouse.io/deepmind/jobs/6317195
Senior Technical AI Ethicist - AI Red Teamer,Salesforce,San Francisco,https://careers.salesforce.com/en/jobs/jr268693/senior-technical-ai-ethicist-ai-red-teamer/
Technology Equity Manager,"City of South Bend, Indiana","South Bend, Indiana",https://recruiting.myapps.paychex.com/appone/MainInfoReq.asp?R_ID=6580999&B_ID=91&fid=1&Adid=0&ssbgcolor=FFFFFF&SearchScreenID=2301&CountryID=3&LanguageID=2
"Public Policy Manager, Media and Intellectual Property",Meta,"Washington, D.C., New York City",https://www.metacareers.com/jobs/1732133760892501/
Principal Technology Adviser (AI Compliance),Information Commissioner’s Office,"Wilmslow, Cheshire Edinburgh London Belfast Cardiff",https://ico.wd3.myworkdayjobs.com/en-US/ICO/details/Principal-Technology-Adviser--AI-Compliance-_JR416
AI Governance Success Manager,Credo AI,Remote,https://www.credo.ai/jobs?ashby_jid=a1c665af-d869-467c-9a9d-bd7a9437c538
"Technical Governance and Responsible AI Researcher, Cohere For AI",Cohere,San Francisco,https://jobs.ashbyhq.com/cohere/e3cb621a-75b8-467c-803c-4325fb0c1301
"Privacy, AI and Data Protection Counsel",Wiz,Remote,https://www.wiz.io/careers/job/4424911006/privacy-ai-and-data-protection-counsel
Machine Learning Engineer,NYU McSilver Institute for Poverty Policy and Research,New York City,https://apply.interfolio.com/160588
Head of Credo AI Governance Advisory,Credo AI,"Remote, U.S. East Coast preferred",https://www.credo.ai/jobs?ashby_jid=2e5b7d37-ca0f-4941-a13f-be623c1737d9
"Specialist, AI Technology and Innovation – AI Governance Alliance",World Economic Forum,San Francisco,https://weforum.wd3.myworkdayjobs.com/en-US/Forum_Careers/job/San-Francisco/Specialist--AI-Technology-and-Innovation---AI-Governance-Alliance_R3332
Staff scientist (AI policy and governance),Umeå University,Sweden,https://umu.varbi.com/en/what:job/jobID:775734/
Data and AI Governance Lead,Abcam,"Cambridge, UK",https://www.linkedin.com/jobs/view/4090111294/
Algorithmic Justice Fellow,American Civil Liberties Union (ACLU),"Washington, D.C.",https://www.aclu.org/careers/apply/?job=7742482002&type=national
Summer Research Fellow,The Institute for Law & AI’s (LawAI),"Remote with ability to attend in-person on-site week in Washington, D.C., July 7-11",https://law-ai.org/summer-research-fellowship-in-law-ai-2025/
"Research Scientist, AI Ethicist",Northeastern University,"Boston, MA",https://apptrkr.com/5788936
Technology and Human Rights Fellowship,Harvard Kennedy School Carr Center for Human Rights Policy,Remote,https://www.hks.harvard.edu/centers/carr/opportunities/fellowship-opportunities/technology-and-human-rights-fellowship
IT Specialist (AI),United States Government,Remote,https://www.usajobs.gov/job/818569300
IT Specialist (AI),United States Government,"San Francisco, California",https://www.usajobs.gov/job/818556000
Director - Program Manager - AI Governance Program,Mastercard,"O'Fallon, Missouri",https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/OFallon-Missouri/Director---Program-Manager---AI-Governance-Program_R-234803?q=AI%20Governance%20Program
"Director, AI Governance",Mastercard,"London, England",https://mastercard.wd1.myworkdayjobs.com/en-US/CorporateCareers/job/London-England-Angel-Lane/Director--AI-Governance_R-234894-1?q=AI%20Governance
Lecturer,Edinburgh University Group,"Edinburgh, Scotland",https://elxw.fa.em3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/11559
"Senior Associate, AI Governance",The Future Society,Candiates must reside in locations between Pacific Time and Centra European Time,https://thefuturesociety.org/work-with-us/
Westin Research Center - Privacy and AI Governance Fellows,IAPP,"Portsmouth, New Hampshire",https://recruiting.ultipro.com/INT1087IAPP/JobBoard/2db18b8e-4f9b-4832-830c-dc5f1c5041ae/OpportunityDetail?opportunityId=f700e9d1-fccf-41a0-8080-55508ec59e58
Head of Division - Artificial Intelligence and Emerging Digital Technologies,OECD,"Paris, France",https://jobs.smartrecruiters.com/OECD/744000023282425-head-of-division-artificial-intelligence-and-emerging-digital-technologies?trid=3b3fd07c-0791-4ac8-9ea8-cc2477730cb5
Security & AI Compliance Governance Associate/ Specialist (f/m/d),SAP,"Walldorf, Delaware",https://jobs.sap.com/job/Walldorf-Security-&-AI-Compliance-Governance-Associate-Specialist-%28fmd%29-69190/1139765701/?feedId=384233&utm_campaign=SAP_Linkedin&utm_source=LILimitedListings
AI Security and Compliance Engineer,Lenovo,"Morrisville, North Carolina",https://jobs.lenovo.com/en_US/careers/JobDetail?jobId=61229&src=LinkedIn#
"AI Governance, Risk, and Compliance (GRC) Leader",Slalom,"Atlanta, Austin, Boise, Boston, Charlotte, Chicago, Columbus, Dallas, Denver, Detroit, Hartford, Houston, Los Angeles, Miami, Minneapolis, New Jersey, New York City, Orange County, Philadelphia, Phoenix, Portland, Raleigh, Salt Lake City, San Diego, San Francisco, Seattle, Washington DC, Nashville, Kansas City",https://jobs.slalom.com/?nostate=1&tSource=a121R00000NSLLRQA5#/post/a0hPh000001Sks9
AI Governance Expert,EcoVadis,"Barcelona, Catalonia, Spain",https://www.linkedin.com/jobs/view/4046615124/
Risk Management - AI Governance & Integration Lead - Vice President,JPMorgan Chase,"Newark, Delaware",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions/job/210571177/?utm_medium=jobboard&utm_source=BuiltInCandidate
"Senior Director, AI Governance",PlayStation,"San Mateo, California",https://job-boards.greenhouse.io/sonyinteractiveentertainmentglobal/jobs/5354258004?gh_src=c81250474us
Policy Manager - Artificial Intelligence - Europe,Credo AI,Remote,https://www.credo.ai/jobs?ashby_jid=7d6142ec-e9b7-4c0b-a244-ce670558a12f
Product Manager - Workflows & Platform,Credo AI,Remote,https://www.credo.ai/jobs?ashby_jid=e6569ce6-feb3-421d-b281-ca22116664ea
Software Engineer- AI Governance,Dataiku,Remote,https://www.dataiku.com/company/job/?id=5067460004
"Fellow, A.I. Initiatives",The New York Times,"New York, New York",https://boards.greenhouse.io/thenewyorktimes/jobs/4489049005
Head of AI Governance and Processes,Novo Nordisk,"Ørestad, Denmark",https://careers.novonordisk.com/job/%C3%98restad-Head-of-AI-Governance-and-Processes-Capi/1135881701/
AI Policy Fellow,Princeton University,"Princeton, New Jersey",https://puwebp.princeton.edu/AcadHire/apply/application.xhtml?listingId=36663
