Job Title,Company/Organization,Location,Job Link
"Chair, Department of Technology, AI and Society",Stony Brook University,"Stony Brook, New York",
Android Board Support Packages (BSP) Engineer,The Calyx Institute,Remote within the United States,https://job-boards.greenhouse.io/calyxinstitute/jobs/4934856007
Member - Oversight Board,Ada Lovelace Institute,London,https://micro.green-park.co.uk/adalovelace/role-description/
Privacy Engineer - Privacy Red Team,Meta,"Menlo Park, CA • Seattle, WA • New York, NY",https://www.metacareers.com/jobs/1316674426554165/?fbclid=IwY2xjawMey-tleHRuA2FlbQIxMQBicmlkETFHWUU5NjM2OHhCb2pRdk13AR7bk_YT1IrQ3AAF0gSZoI5nOPGPjCckmNfQlRWgXem8EGBsUWIfg3EEq1NOJw_aem_q2UREqjfBQqluIRFc4puCw
Android Platform Software Developer,The Calyx Institute,Remote,https://job-boards.greenhouse.io/calyxinstitute/jobs/4858794007
Chief Compliance Officer,State of Illinois,Chicago,https://illinois.jobs2web.com/job/Springfield-Chief-Compliance-Officer-%28SPSA-Opt_-1%29-IL-62702-5170/1323007100/?utm_campaign=doitrtjb
Risk & Compliance Analyst,Tripadvisor,London,https://tripadvisor.greenhouse.io/internal_job_board/applications/6997991
Chief Compliance Officer,State of Illinois,"Springfield, IL",https://illinois.jobs2web.com/job/Springfield-Chief-Compliance-Officer-%28SPSA-Opt_-1%29-IL-62702-5170/1310919300/?utm_campaign=doitrtjb
Berkman Klein Center Call for Applications: 2025-2026 BKC Fellowship,The Berkman Klein Center for Internet & Society at Harvard University,"Cambridge,MA",https://cyber.harvard.edu/getinvolved/fellowships/2526Fellows
"Senior Manager - Privacy, Responsible AI and Data Regulations (PRADAR)",Vodafone,Newbury,https://jobs.vodafone.com/careers?query=responsible&start=0&pid=563018684763821&sort_by=solr
Executive Director,Surveillance Technology Oversight Project,"New York, NY",https://www.stopspying.org/staff-openings
"Director of Product Management, Generative AI Privacy & Security",Google DeepMind,"Mountain View or San Francisco, CA",https://boards.greenhouse.io/deepmind/jobs/6512324
Deputy Chief Information Security Officer of Operations & Technology,State of Illinois,"Springfield, IL",https://illinois.jobs2web.com/job/Springfield-Deputy-Chief-Information-Security-Officer-of-Operations-&-Technology-%28SPSA-Opt_3%29-IL-62702-5170/1259937900/?utm_campaign=doitrtjb
Associate General Counsel,Project Liberty,New York City,https://app.trinethire.com/companies/34219-project-liberty-llc/jobs/101769-associate-general-counsel
"Privacy Engineer, Implementation Review",Meta,Menlo Park or Seattle,https://www.metacareers.com/jobs/1071041337835575/
"Privacy, AI and Data Protection Counsel",Wiz,Remote,https://www.wiz.io/careers/job/4424911006/privacy-ai-and-data-protection-counsel
Vice President-Privacy Governance Lead,JP Morgan Chase,"New York City, Jersey City (NJ)",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1002/job/210575000
"Vice President, Associate General Counsel – Product & Privacy",Scopely,"Culver City, CA",https://www.linkedin.com/jobs/view/4085624783/
Algorithmic Justice Fellow,American Civil Liberties Union (ACLU),"Washington, D.C.",https://www.aclu.org/careers/apply/?job=7742482002&type=national
Privacy Manager,Sovrn,"Boulder, Colorado",https://boards.greenhouse.io/sovrn/jobs/6393006
Global Data and Privacy Senior Advisor,Medtronic,"Northridge, California",https://medtronic.wd1.myworkdayjobs.com/MedtronicCareers/job/Northridge-California-United-States-of-America/Global-Data-and-Privacy-Senior-Advisor_R13552-1
"Head of Division - Data Flows, Governance and Privacy",OECD,"Paris, France",https://jobs.smartrecruiters.com/OECD/744000023282645-head-of-division-data-flows-governance-and-privacy
"Product & Privacy Counsel, AI/ML",DigitalOcean,Remote,https://www.digitalocean.com/careers/position/apply?gh_jid=6337078&gh_src=312a08e31us
Associate Ethics and Privacy Counsel,Novo Nordisk,"Bagsværd, Denmark",https://www.novonordisk.com/careers/find-a-job/job-ad.317296.en_GB.html
Healthcare Data Resources Supervisor,California Department of Health Care Access and Information,"Sacramento, California",https://calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=445807
Senior Privacy Counsel,Apple,"Cupertino, California",https://jobs.apple.com/en-us/details/200571112/senior-privacy-counsel?team=CORSV
"Director, Assistant General Counsel, Global Privacy",Etsy,"Dublin, Ireland",https://etsy.wd5.myworkdayjobs.com/en-US/Etsy_Careers/job/Director--Assistant-General-Counsel--Global-Privacy_JR3997
Senior Legal Counsel,DeepL,"London, United Kingdom",https://jobs.ashbyhq.com/DeepL/58cab9e4-3365-4b6c-abc3-fdb97f1f3d24?src=LinkedIn
Data Privacy Counsel,Milliman,"Tampa, Florida",https://recruiting2.ultipro.com/MIL1017/JobBoard/f54234e9-dfde-b183-fd20-4fbdb19cba7a/OpportunityDetail?opportunityId=1148348b-f103-4cdb-b784-43d69ba603e5&source=LinkedIn&utm_source=LINKEDIN
Privacy Champion,JPMorgan Chase & Co,"London, UK",https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210557692?utm_medium=jobboard&utm_source=11663
Privacy Legal Advisor & Analyst,State of North Carolina,"Wake County, North Carolina",https://www.governmentjobs.com/careers/%7B0%7Dnorthcarolina/jobs/newprint/4692703
Tenured Research Position on Privacy,Inria Centre at Université Côte d'Azur,"Valbonne, France",https://www-sop.inria.fr/members/Nataliia.Bielova/hiring.html
"Data Privacy and AI Governance Program Specialist (Bangkok-based, Relocation Provided)",Agada,"Bangkok, Thailand",https://careersatagoda.com/job/6247163-data-privacy-and-ai-governance-program-specialist-bangkok-based-relocation-provided/?gh_jid=6247163&gh_src=208785d61
