Job Title,Company,Location,Job link
Program Director,Cresta,United States,https://aijobs.ai/job/program-director
Senior Demand Generation Manager,Cresta,United States,https://aijobs.ai/job/senior-demand-generation-manager-7
Application Support Engineer,Cresta,United States,https://aijobs.ai/job/application-support-engineer
"Lead Product Manager, AI-Driven Customer Support",Flex,United States,https://aijobs.ai/job/lead-product-manager-ai-driven-customer-support
Search - Workchat - Applied Data Scientist II,Elasticsearch,United States,https://aijobs.ai/job/search-workchat-applied-data-scientist-ii-1
Sales Engineer - AI/ML Advanced Data Architecture,Komodo Health,United States,https://aijobs.ai/job/sales-engineer-aiml-advanced-data-architecture
"Principal Engineer, CPU Design, AI/ML Applications",Tenstorrent,United States,https://aijobs.ai/job/principal-engineer-cpu-design-aiml-applications
Staff Data Scientist - Performance Marketing,Quince,United States,https://aijobs.ai/job/staff-data-scientist-performance-marketing-1
Customer Service AI Automation Specialist,Quince,United States,https://aijobs.ai/job/customer-service-ai-automation-specialist-1
Executive Assistant to CEO and EVP/General Counsel (6–7 Month Contract),Primer AI,United States,https://aijobs.ai/job/executive-assistant-to-ceo-and-evpgeneral-counsel-6-7-month-contract
"Senior Manager, Platform & Infrastructure Audit (AI Model & Platform SME)",OKX,United States,https://aijobs.ai/job/senior-manager-platform-infrastructure-audit-ai-model-platform-sme
"Quality Assurance Analyst, AI Delivery",Cresta,United States,https://aijobs.ai/job/quality-assurance-analyst-ai-delivery
Account Executive,DevRev,United States,https://aijobs.ai/job/account-executive-215
AI Solutions Partner,Contentful,United States,https://aijobs.ai/job/ai-solutions-partner
Contracts Administrator,Charles River Associates,United States,https://aijobs.ai/job/contracts-administrator
Customer Engineer,Cresta,United States,https://aijobs.ai/job/customer-engineer-8
Demand Generation Marketing Manager,PolyAI,United States,https://aijobs.ai/job/demand-generation-marketing-manager
Senior Data Scientist,Archer,United States,https://aijobs.ai/job/senior-data-scientist-4236
"Senior Data Scientist, West",Dataiku,United States,https://aijobs.ai/job/senior-data-scientist-west
"Director, Demand Generation - Remote US",Seamless.AI,United States,https://aijobs.ai/job/director-demand-generation-remote-us
"Senior Manager/Director, Data Science",Komodo Health,United States,https://aijobs.ai/job/senior-managerdirector-data-science
1393# Senior Analytical Data Science Programmer Consultants (Remote),ClinChoice,United States,https://aijobs.ai/job/1393-senior-analytical-data-science-programmer-consultants-remote
"Senior Product Manager, AI Platform",Motive,United States,https://aijobs.ai/job/senior-product-manager-ai-platform-3
"Principal Product Manager, AI Monetization",GumGum,United States,https://aijobs.ai/job/principal-product-manager-ai-monetization
"Data Scientist, New Graduate",HeyGen,United States,https://aijobs.ai/job/data-scientist-new-graduate
Manager - Data Science,StubHub,United States,https://aijobs.ai/job/manager-data-science-456
Staff Machine Learning Engineer - Acquisition Paid Search,StubHub,United States,https://aijobs.ai/job/staff-machine-learning-engineer-acquisition-paid-search-2
"Software & System Test Engineer (Lead, Automation & AI-Driven QA)",CHAOS Industries,United States,https://aijobs.ai/job/software-system-test-engineer-lead-automation-ai-driven-qa
Senior Brand & Marketing Designer,RadiantSecurity,United States,https://aijobs.ai/job/senior-brand-marketing-designer
"Developer Experience Engineer, AI Compiler",Tenstorrent,United States,https://aijobs.ai/job/developer-experience-engineer-ai-compiler
Senior Machine Learning Engineer - Hybrid,Vannevar Labs,United States,https://aijobs.ai/job/senior-machine-learning-engineer-hybrid
"Staff Data Scientist, Marketing",Thumbtack,United States,https://aijobs.ai/job/staff-data-scientist-marketing-3
"Data Scientist, Care Intelligence (All Levels)",Pomelo Care,United States,https://aijobs.ai/job/data-scientist-care-intelligence-all-levels
Senior Associate/Associate Principal (Finance practice),Charles River Associates,United States,https://aijobs.ai/job/senior-associateassociate-principal-finance-practice
Senior Credit AI Scientist - Consumer Risk,Credit Karma,United States,https://aijobs.ai/job/senior-credit-ai-scientist-consumer-risk-3
"Intern, Test AI Engineer","Samsung Semiconductor, Inc.",United States,https://aijobs.ai/job/intern-test-ai-engineer
Staff AI Scientist - Consumer Risk Fraud (Intuit),Credit Karma,United States,https://aijobs.ai/job/staff-ai-scientist-consumer-risk-fraud-intuit-3
(2026 Bachelor's/Master's graduates) Data Analytics Consulting Analyst/Associate,Charles River Associates,United States,https://aijobs.ai/job/2026-bachelorsmasters-graduates-data-analytics-consulting-analystassociate
Senior AI Engineer,AlphaSense,United States,https://aijobs.ai/job/senior-ai-engineer-446
Head of Data Architecture and AI Solutions,Legend Biotech,United States,https://aijobs.ai/job/head-of-data-architecture-and-ai-solutions
"Software Engineer, Machine Learning (Modeling and Tuning)","ThousandEyes, Inc.",United States,https://aijobs.ai/job/software-engineer-machine-learning-modeling-and-tuning
Staff Data Scientist -  Experimentation & Measurement,PlayStation Global,United States,https://aijobs.ai/job/staff-data-scientist-experimentation-measurement-1
"Senior Data Scientist, Growth Analytics",Moloco,United States,https://aijobs.ai/job/senior-data-scientist-growth-analytics-8
Gameplay Engineer (AI),2K,United States,https://aijobs.ai/job/gameplay-engineer-ai
Senior AI Scientist - Consumer Risk Fraud,Credit Karma,United States,https://aijobs.ai/job/senior-ai-scientist-consumer-risk-fraud-2
"Director, Growth Marketing",CommerceIQ,United States,https://aijobs.ai/job/director-growth-marketing-1
Staff Credit AI Scientist - Consumer Risk (Intuit),Credit Karma,United States,https://aijobs.ai/job/staff-credit-ai-scientist-consumer-risk-intuit-3
Senior AI Engineer,CommerceIQ,United States,https://aijobs.ai/job/senior-ai-engineer-451
Customer Success Director - U.S. East Coast,CommerceIQ,United States,https://aijobs.ai/job/customer-success-director-us-east-coast
Legal Fellow - Human Frontier Collective,Scale AI,United States,https://aijobs.ai/job/legal-fellow-human-frontier-collective
ML Engineering Intern (2025 Winter ML infra and Model Optimization),"Genies, Inc.",United States,https://aijobs.ai/job/ml-engineering-intern-2025-winter-ml-infra-and-model-optimization
"Strategic Projects Lead, Frontier AI Labs",Turing,United States,https://aijobs.ai/job/strategic-projects-lead-frontier-ai-labs
Customer Success Manager,Samaya,United States,https://aijobs.ai/job/customer-success-manager-287
"Data Scientist, RNA Biology",Atomic AI,United States,https://aijobs.ai/job/data-scientist-rna-biology-2
Technical Product Manager,Aktos,United States,https://aijobs.ai/job/technical-product-manager-52
Senior Software Engineer,Helm.ai,United States,https://aijobs.ai/job/senior-software-engineer-158
"Senior Data Scientist, Pricing",Gametime,United States,https://aijobs.ai/job/senior-data-scientist-pricing-8
Sales Development Representative (9-5 PM EST) - Remote US,Seamless.AI,United States,https://aijobs.ai/job/sales-development-representative-9-5-pm-est-remote-us
