job_title,company,location,job_link,has_keyword,Work Type,Employer Type,Policy,AI Governance,Responsible AI,Cybersecurity,Privacy,Data Governance,Data Science,Digital Governance,Digital Ethics,Digital Inclusion,Digital Rights,Civic Tech,Social Impact,Trust & Safety,Human Rights,Human-Centered Design,UX Design,Research,Education,Arts,Journalism,Language,Ethics,History,Culture,Developer,Open Source,Other
"Fundraising Operations Manager
Featured",Fast Forward,"San Francisco, CA, USA",https://jobs.ffwd.org/companies/fast-forward/jobs/60985487-fundraising-operations-manager#content,yes,On-site,Government,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
"Visual Storyteller
Featured",Fast Forward,"San Francisco, CA, USA",https://jobs.ffwd.org/companies/fast-forward/jobs/60671459-visual-storyteller#content,yes,On-site,Government,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
"Office Manager and Program Coordinator
Featured",Fast Forward,"San Francisco, CA, USA",https://jobs.ffwd.org/companies/fast-forward/jobs/59371023-office-manager-and-program-coordinator#content,yes,Remote,Government,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no
Data Governance and Policy Associate,datadotorg,"Remote; Washington, DC, USA",https://jobs.ffwd.org/companies/datadotorg/jobs/61708521-data-governance-and-policy-associate#content,yes,Remote,Government,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
"Senior Manager, Corporate Responsibility & Sustainability, Programs & Engagement",datadotorg,"Remote; Washington, DC, USA",https://jobs.ffwd.org/companies/datadotorg/jobs/61708520-senior-manager-corporate-responsibility-sustainability-programs-engagement#content,yes,Remote,Non-profit,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no
"Lead Instructor, Technical Interview Prep - Spring 2026",codepath-org,United States; Remote,https://jobs.ffwd.org/companies/codepath-org-2-50165d4f-13a0-45ca-8386-7c6a06a3a55a/jobs/61551656-lead-instructor-technical-interview-prep-spring-2026#content,yes,Remote,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no
"Lead Instructor, Web Development - Spring 2026",codepath-org,United States; Remote,https://jobs.ffwd.org/companies/codepath-org-2-50165d4f-13a0-45ca-8386-7c6a06a3a55a/jobs/61551657-lead-instructor-web-development-spring-2026#content,yes,Remote,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no
"Lead Instructor, Cybersecurity - Spring 2026",codepath-org,United States; Remote,https://jobs.ffwd.org/companies/codepath-org-2-50165d4f-13a0-45ca-8386-7c6a06a3a55a/jobs/61551655-lead-instructor-cybersecurity-spring-2026#content,yes,Remote,Private,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no
"Adjunct Instructor, Web Development - Spring 2026 (Remote)",codepath-org,United States; Remote,https://jobs.ffwd.org/companies/codepath-org-2-50165d4f-13a0-45ca-8386-7c6a06a3a55a/jobs/61551653-adjunct-instructor-web-development-spring-2026-remote#content,yes,Remote,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no
"Adjunct Instructor, Web Development - Spring 2026 (In-Person, Master’s Degree Required)",codepath-org,"Washington, DC, USA",https://jobs.ffwd.org/companies/codepath-org-2-50165d4f-13a0-45ca-8386-7c6a06a3a55a/jobs/61551652-adjunct-instructor-web-development-spring-2026-in-person-master-s-degree-required#content,yes,On-site,Private,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no
