Job Title,Company,Location,Job link
Vice President of Programs,The Strategy Group,"Bridgeport, Connecticut, US",https://careers.councilofnonprofits.org/jobs/vice-president-of-programs-in-bridgeport-connecticut-us/
Director of Development,Peoria Zoo,"Peoria, Illinois, US",https://careers.councilofnonprofits.org/jobs/director-of-development-in-peoria-illinois-us/
Grants Specialist,"City of Urbana, Illinois","Urbana, Illinois, US",https://careers.councilofnonprofits.org/jobs/grants-specialist-in-urbana-illinois-us/
Chief Development Officer,Project Angel Food,"Los Angeles, California, US",https://careers.councilofnonprofits.org/jobs/chief-development-officer-in-los-angeles-california-us/
VICE PRESIDENT FOR ADVANCEMENT,Eastern University,"Wayne, Pennsylvania 19087, US",https://careers.councilofnonprofits.org/jobs/vice-president-for-advancement-in-wayne-pennsylvania-19087-us/
Director of Finance,Montshire Museum of Science,"Norwich, Vermont, US",https://careers.councilofnonprofits.org/jobs/director-of-finance-in-norwich-vermont-us/
Membership Coordinator,The Texas Tribune,"Austin, Texas, US",https://careers.councilofnonprofits.org/jobs/membership-coordinator-in-austin-texas-us/
"Executive Director, Tandem, Partners in Early Learning","Tandem, Partners in Early Learning","California, US",https://careers.councilofnonprofits.org/jobs/executive-director-in-california-us/
Chief of Staff,Charter Oak Communities,"Stamford, Connecticut, US",https://careers.councilofnonprofits.org/jobs/chief-of-staff-in-stamford-connecticut-us/
"Executive Director, St. Ambrose Housing Aid Center",St. Ambrose Housing Aid Center,"Baltimore, Maryland, US",https://careers.councilofnonprofits.org/jobs/executive-director-st-ambrose-housing-aid-center-in-baltimore-maryland-us/
Senior Development Manager,The GrowHaus,"Denver, Colorado, US",https://careers.councilofnonprofits.org/jobs/senior-development-manager-in-denver-colorado-us-2/
Nonprofit Account Manager,Nonprofit Resources,"Nationwide, US",https://careers.councilofnonprofits.org/jobs/account-manager-remote-in-rapid-city-south-dakota-us/
"Senior Director, Institutional Giving","Hadassah, WZOA, Inc","New York City, New York, US",https://careers.councilofnonprofits.org/jobs/senior-director-institutional-giving-in-new-york-city-new-york-us/
Volunteer Board Member,California Historical Radio Society,"Alameda, California, US",https://careers.councilofnonprofits.org/jobs/volunteer-board-member-in-alameda-california-us/
Executive Director - Down Syndrome Association of Northern Virginia,Down Syndrome Association of Northern Virginia,"Fairfax, Virginia, US",https://careers.councilofnonprofits.org/jobs/executive-director-down-syndrome-association-of-northern-virginia-in-fairfax-virginia-us/
Chief Executive Officer,NorthSouth Foundation,"Chicago, Illinois, US",https://careers.councilofnonprofits.org/jobs/chief-executive-officer-remote-in-chicago-illinois-us/
Executive Director,Chicago Humanities,"Chicago, Illinois, US",https://careers.councilofnonprofits.org/jobs/executive-director-in-chicago-illinois-us/
Chief Development Officer,Institute for Nonprofit Practice,"Boston, Massachusetts, US",https://careers.councilofnonprofits.org/jobs/chief-development-officer-in-boston-massachusetts-us/
Bilingual Spanish/English Pathway of Hope Case Manager,The Salvation Army Del Oro Division,"Oakland, California, US",https://careers.councilofnonprofits.org/jobs/bilingual-spanishenglish-pathway-of-hope-case-manager-in-oakland-california-us/
Executive Director,Upturn,"Washington, District of Columbia, US",https://careers.councilofnonprofits.org/jobs/executive-director-remote-in-washington-district-of-columbia-us/
Chief Advancement Officer,Movement Strategy Center,"California, US",https://careers.councilofnonprofits.org/jobs/chief-advancement-officer-remote-in-california-us/
Director of Public Health Watch,Protect Our Care,"Washington, D.C., US",https://careers.councilofnonprofits.org/jobs/director-of-public-health-watch-remote-in-washington-d-c-us/
Director/Asst Director of Resource Development,Solidarity Center,"Washington, D.C., US",https://careers.councilofnonprofits.org/jobs/directorasst-director-of-resource-development-in-washington-d-c-us/
"Loan Closing Manager (Job #343 ) ($117,857 - $130,049)",Rural Community Assistance Corporation,"West Sacramento, California 95691, US",https://careers.councilofnonprofits.org/jobs/loan-closing-manager-job-343-117857-130049-remote-in-west-sacramento-california-95691-us/
Chief Mission Delivery Officer,Girl Scouts of Eastern Massachusetts,"Waltham, Massachusetts, US",https://careers.councilofnonprofits.org/jobs/chief-mission-delivery-officer-in-waltham-massachusetts-us/
Children and Youth Services Director,City of Pomona,"Pomona, California, US",https://careers.councilofnonprofits.org/jobs/children-and-youth-services-director-in-pomona-california-us/
Summer 2026 Hybrid Education Policy Center and Racial Justice Center Law Student Internship,New York Civil Liberties Union Foundation,"New York City, New York, US",https://careers.councilofnonprofits.org/jobs/summer-2026-hybrid-education-policy-center-and-racial-justice-center-law-student-internship-in-new-york-city-new-york-us/
Summer 2026 Education Policy Center Law Student Internship,New York Civil Liberties Union Foundation,"New York City, New York, US",https://careers.councilofnonprofits.org/jobs/summer-2026-education-policy-center-law-student-internship-in-new-york-city-new-york-us/
Senior Project Manager - Unsheltered Homelessness Strategy,Partners for HOME,"Atlanta, Georgia, US",https://careers.councilofnonprofits.org/jobs/senior-project-manager-unsheltered-homelessness-strategy-in-atlanta-georgia-us/
Vice President of Operations,LUK Inc,"Fitchburg, Massachusetts, US",https://careers.councilofnonprofits.org/jobs/vice-president-of-operations-in-fitchburg-massachusetts-us/
Chief Executive Officer (CEO),Ability Housing,"Jacksonville, Florida, US",https://careers.councilofnonprofits.org/jobs/chief-executive-officer-ceo-in-jacksonville-florida-us/
Legislative Coordinator,Amnesty International,"Alaska, US | Maine, US | Texas, US | North Carolina, US | South Carolina, US | West Virginia, US",https://careers.councilofnonprofits.org/jobs/legislative-coordinator-remote-in-alaska-us/
CHIEF DEVELOPMENT & COMMUNICATIONS OFFICER,Dream Center,"Los Angeles, California, US",https://careers.councilofnonprofits.org/jobs/chief-development-communications-officer-in-los-angeles-california-us/
Senior Director of Development and Engagement,The Opportunity Network,"New York City, New York, US",https://careers.councilofnonprofits.org/jobs/senior-director-of-development-and-engagement-in-new-york-city-new-york-us/
Vice President of Development & External Relations,Arab American Family Support Center,"New York City, New York, US",https://careers.councilofnonprofits.org/jobs/vice-president-of-development-external-relations-in-new-york-city-new-york-us/
Executive Director,South Florida Wildlife Center,"Fort Lauderdale, Florida, US",https://careers.councilofnonprofits.org/jobs/executive-director-in-fort-lauderdale-florida-us/
Executive Assistant/Administrative Assistant,The Burke Foundation,"Princeton, New Jersey, US",https://careers.councilofnonprofits.org/jobs/executive-assistantadministrative-assistant-in-princeton-new-jersey-us/
Non- Profit Early Childhood Executive Director,Confidential Employer,"Delaware County, Pennsylvania, US",https://careers.councilofnonprofits.org/jobs/non-profit-early-childhood-executive-director-in-delaware-county-pennsylvania-us/
Director of Institutional Giving,Maine Coast Heritage Trust,"Topsham, Maine, US | Rockport, Maine, US | Mount Desert, Maine 04660, US | Whiting, Maine 04691, US",https://careers.councilofnonprofits.org/jobs/director-of-institutional-giving-in-topsham-maine-us/
Donor Relations & Engagement Specialist,Alliance for Youth Action,"Washington, D.C., Washington, D.C., US",https://careers.councilofnonprofits.org/jobs/donor-relations-engagement-specialist-remote-in-washington-d-c-washington-d-c-us/
"President and CEO, National Institute for Children's Health Quality",National Institute for Children's Health Quality,"Boston, Massachusetts, US",https://careers.councilofnonprofits.org/jobs/president-and-ceo-national-institute-for-childrens-health-quality-in-boston-massachusetts-us/
Executive Director,Threshold Choir,"California, US",https://careers.councilofnonprofits.org/jobs/executive-director-remote-in-california-us/
Senior Asset Manager,Housing Assistance Council Inc,"Washington, D.C., US",https://careers.councilofnonprofits.org/jobs/senior-asset-manager-remote-in-washington-d-c-us/
FRESH TRUCK Executive Director,"Positively Partners, LLC","Boston, Massachusetts, US",https://careers.councilofnonprofits.org/jobs/fresh-truck-executive-director-in-boston-massachusetts-us/
Executive Director of the North Carolina Association of County Directors of Social Services,NCACDSS,"Raleigh, North Carolina, US",https://careers.councilofnonprofits.org/jobs/executive-director-of-the-north-carolina-association-of-county-directors-of-social-services-in-raleigh-north-carolina-us/
Executive Director,Sprouts Chef Training,Anywhere,https://careers.councilofnonprofits.org/jobs/executive-director-remote-in-anywhere/
Strategist (Racial Justice),New York Civil Liberties Union Foundation,"New York City, New York, US",https://careers.councilofnonprofits.org/jobs/strategist-racial-justice-in-new-york-city-new-york-us/
Rural Coordination Specialist,Wyoming Coalition Against Domestic Violence and Sexual Assault,"Laramie, Wyoming 82073, US",https://careers.councilofnonprofits.org/jobs/rural-coordination-specialist-remote-in-laramie-wyoming-82073-us/
Membership and Advocacy Coordinator,Wyoming Coalition Against Domestic Violence and Sexual Assault,"Laramie, Wyoming 82073, US",https://careers.councilofnonprofits.org/jobs/membership-and-advocacy-coordinator-remote-in-laramie-wyoming-82073-us/
Economic Justice Specialist,Wyoming Coalition Against Domestic Violence and Sexual Assault,"Laramie, Wyoming 82073, US",https://careers.councilofnonprofits.org/jobs/economic-justice-specialist-remote-in-laramie-wyoming-82073-us/
