Job Title,Company,Location,Job Description,Job link
Finance Analyst,FAR AI,"San Francisco Bay Area, ▪ ...","In this role, you'll partner with the Head of Finance to build and run an exceptional finance function at FAR.AI.
Coordinate monthly and quarterly financial reporting for leadership and track budgets, variances, and cash flow.
Oversee bill payments, expenses, and contractor invoices while maintaining finance systems and ensuring data accuracy.
Support month-end close, reconciliations, and preparation of audit and tax materials.
Serve as a finance resource across the organization, helping colleagues navigate budgets, expenses, and procurement needs.",https://www.far.ai/careers/finance-analyst
Senior Communications Manager,FAR AI,"San Francisco Bay Area, ▪ Remote, USA, ▪ ...","In this role, you'll elevate FAR.AI's voice, blending strategy, storytelling, and execution to connect research with relevant audiences.
Serve as deputy to the Head of Communications, managing planning and delivery of communications projects across media, digital, content, and events.
Build media relationships and secure accurate coverage through press releases, talking points, and executive briefings.
Transform complex research papers and findings into accessible summaries and content for various audiences.",https://www.far.ai/careers/senior-communications-manager
"Research Lead, AI Security Field-Building and Partnerships",RAND Corporation,"Washington, DC, ▪ San Francisco Bay Area, ▪ Remote, USA, ▪ ...","In this role, you'll lead field-building initiatives to address critical challenges in securing powerful AI systems.
Lead a dedicated team managing resources for AI security collaborations across industry and government.
Launch technical working groups and fellowship programs to rapidly train senior AI Security talent.
Organize workshops at major security and machine learning conferences to advance the field.
Set strategic priorities for the AI Security field through collaborative stakeholder engagement.",https://rand.wd5.myworkdayjobs.com/en-US/External_Career_Site/job/Washington-DC-DC-Metro-Area/Research-Lead---AI-Security-Field-Building---Partnerships_R3123
Human Data Lead,Model Evaluation and Threat Research,"San Francisco Bay Area, ▪ ...","In this role, you'll lead human data collection efforts critical for generating evidence about AI progress.
Design and maintain end-to-end processes for human data collection and analysis.
Develop clear specifications and data analysis plans for research involving human data.
Manage participant recruitment, coordination, and experience across multiple projects.
Strategize between competing human data needs while building and maintaining external partnerships.",https://jobs.lever.co/metr/3f3ac805-67d0-45f8-bb45-f31ae25c04fa
"Research Engineer, Machine Learning",Poseidon Research,"New York, NY, ▪ ...","In this role, you'll implement and scale experiments studying encoded reasoning and steganography in modern reasoning models.
Develop modular experiment pipelines for evaluating steganography, encoded reasoning, and reward hacking.
Build finetuning workflows to study emergent encoded reasoning and reward hacking behaviors.
Extend interpretability infrastructure including probing, feature ablation, and sparse autoencoder analysis pipelines.
Engineer datasets and evaluation suites for robust paraphrasing, steganography cover tasks, and monitoring metrics.",https://poseidonresearch.org/open-roles/research-engineer-machine-learning
"Research Scientist, Machine Learning",Poseidon Research,"New York, NY, ▪ ...","In this role, you'll design and execute cutting-edge research on how advanced AI models represent, encode, and conceal information.
Conduct experiments on language models to study phenomena like encoded reasoning, steganography, and reward hacking.
Develop model organisms that exhibit key properties such as hidden communication or deceptive reasoning.
Contribute to interpretability tools and pipelines for whitebox monitoring.
Formalize security and information-theoretic bounds on steganographic behaviors in LLMs.",https://poseidonresearch.org/open-roles/research-scientist-machine-learning
"Intern, Korea Chair (Spring 2026)",Center for Strategic and International Studies,"Washington, DC, ▪ ...","In this role, you'll support the Korea Chair's policy research program on Korean peninsula issues through research, data management, and event coordination.
Compile and code qualitative data for the Beyond Parallel project.
Monitor current events and write weekly policy briefs on Korean peninsula topics.
Provide logistical support for events and manage social media outreach.
Assist with research and writing for articles, reports, and grant proposals.",https://careers.csis.org/opportunities/1703
Internship (Spring 2026),Committee for a Responsible Federal Budget,"Washington, DC, ▪ ...","In this role, you'll contribute to fiscal policy research and analysis as an intern at the Committee for a Responsible Federal Budget in Washington, DC.
Work alongside full-time staff as a team member, attending meetings and collaborating on projects.
Conduct research on topics like taxes, healthcare, and Social Security based on your chosen department.
Draft content including blogs, memos, social media posts, or policy analyses depending on your team placement.
Participate in a hybrid work environment from January to May 2026 while earning DC minimum wage.",https://www.crfb.org/jobs/internship
Senior Research Program Manager,Gates Foundation,"Seattle metro area, ▪ ...","In this role, you'll lead strategic program management for the Institute for Disease Modeling's research activities across global health domains.
Provide strategic guidance for research portfolios aligned with organizational goals.
Lead end-to-end program management including objective setting, implementation frameworks, and cross-functional collaboration.
Manage a team of program managers while fostering a high-performance, collaborative culture.
Cultivate partnerships with internal foundation teams and external research collaborators to ensure alignment and shared outcomes.",https://gatesfoundation.wd1.myworkdayjobs.com/en-US/Gates/job/Seattle-WA/Senior-Research-Program-Manager_B021081-1
"Internship, Science Undergraduate Laboratory (Summer 2026)","US Government, Department of Energy","Washington, DC, ▪ ...","In this role, you'll participate in a paid research internship at a DOE national laboratory, working on projects that advance scientific discovery.
Collaborate with leading science experts who will mentor you in specific research areas.
Gain hands-on experience using state-of-the-art facilities and advanced scientific instruments.
Develop professional networks with scientists and fellow STEM students.
Apply your STEM education to real-world challenges that support the Department of Energy's missions.",https://science.osti.gov/wdts/suli
